code;short_code;station;address;altitude;vv;dv;t;hr;pb;rs;p;cod_via;type_street;prefix_street;street_name;housenumber;longitude;latitude
28079004;4;Plaza España;Plaza de España;637;;;X;;;;;273600;PLAZA;DE;ESPAÑA;;-3.7122567;40.4238823
28079008;8;Escuelas Aguirre;Entre C/ Alcalá y C/ O’ Donell ;672;;;X;X;;;;18900;CALLE;DE;ALCALA;;-3.6823158;40.4215533
28079016;16;Arturo Soria;C/ Arturo Soria  esq. C/  Vizconde de los Asilos ;695;;;X;X;;;;798700;CALLE;DEL;VIZCONDE DE LOS ASILOS;;-3.6392422;40.4400457
28079018;18;Farolillo;Calle Farolillo - C/Ervigio;632;;;X;;;;;1903;CALLE;DEL;FAROLILLO;;-3.7318356;40.3947825
28079024;24;Casa de Campo;Casa de Campo  (Terminal del Teleférico);646;X;X;X;X;X;X;X;905219;CARRETERA;DEL;TELEFERICO;;-3.7473445;40.4193577
28079035;35;Plaza del Carmen;Plaza del Carmen esq. Tres Cruces. ;660;;;X;X;;;;145800;PLAZA;DEL;CARMEN;;-3.7031662;40.4192091
28079036;36;Moratalaz;Avd. Moratalaz  esq. Camino de los Vinateros;671;;;X;X;;;;522000;AVENIDA;DE;MORATALAZ;;-3.6453104;40.4079517
28079038;38;Cuatro Caminos;Avd. Pablo Iglesias esq. C/ Marqués de Lema;699;;;X;X;;;;554550;AVENIDA;DE;PABLO IGLESIAS;;-3.7071303;40.4455439
28079039;39;Barrio del Pilar;Avd. Betanzos esq. C/  Monforte de Lemos ;676;;;X;X;;;X;514425;AVENIDA;DE;MONFORTE DE LEMOS;;-3.7115364;40.4782322
28079054;54;Ensanche de Vallecas;Avda La Gavia / Avda. Las Suertes;629;X;X;X;X;;X;X;31000516;AVENIDA;DE;LA GAVIA;;-3.6121394;40.3730118
28079056;56;Plaza Elíptica;Pza. Elíptica - Avda. Oporto;605;X;X;X;X;X;;X;293200;PLAZA;;ELIPTICA;;-3.7187679;40.3850336
28079058;58;El Pardo;Avda. La Guardia;612;;;X;X;;;;348500;AVENIDA;DE LA;GUARDIA;;-3.7746101;40.5180701
28079059;59;Juan Carlos I;Parque Juan Carlos I (frente oficinas mantenimiento);660;X;X;X;X;X;X;X;;PARQUE;;JUAN CARLOS I;;-3.6163407;40.4607255
28079102;102;J.M.D. Moratalaz;C/ Fuente Carantona, 8;687;X;X;X;X;X;X;X;315060;CALLE;DE LA;FUENTE CARRANTONA;8;-3.63563705;40.39979278
28079103;103;J.M.D. Villaverde;C/ Arroyo Bueno, 53;594;X;X;X;X;X;X;X;74200;CALLE;DEL;ARROYO BUENO;53;-3.70952476;40.3506278
28079104;104;E.D.A.R. La China;Embajadores;566;X;X;;;;;;262000;CALLE;DE;EMBAJADORES;;-3.679722;40.3658333
28079106;106;Centro Mpal. De Acústica;Autovía M-30 Km. 21.700;587;X;X;X;X;X;X;X;31001349;AUTOVÍA;;M-30;21,7;-3.74;40.442222
28079107;107;J.M.D. Hortaleza;Ctra. de Canillas, 2;715;X;X;X;X;X;X;X;133455;CARRETERA;DE;CANILLAS;2;-3.656667;40.462778
28079108;108;Peñagrande;C.D.M. Peñagrande;660;X;X;X;X;X;X;X;514425;AVENIDA;DE;MONFORTE DE LEMOS;184;-3.717881;40.4766333
28079109;109;J.M.D.Chamberí;Plaza de Chamberí, 4;678;;;X;X;;;;227900;PLAZA;DE;CHAMBERI;4;-3.69695;40.4319111
28079110;110;J.M.D.Centro;C/ Mayor, 72;647;;;X;X;;;;497800;CALLE;;MAYOR;72;-3.710792;40.4156
28079111;111;J.M.D.Chamartin;C/ Principe de Vergara, 142;704;;;X;X;;;;610450;CALLE;DEL;PRINCIPE DE VERGARA;42;-3.6803686;40.4226491
28079112;112;J.M.D.Vallecas 1;Avda. Albufera, 42;607;;;X;X;;;;18600;AVENIDA;DE LA;ALBUFERA;42;-3.666456;40.396472
28079113;113;J.M.D.Vallecas 2;Avda. Albufera, 42;607;;;X;X;;;;18600;AVENIDA;DE LA;ALBUFERA;;-3.666456;40.396472
28079114;114;Matadero 01;Paseo de la Chopera, 10;570;;;X;X;;;;230600;PASEO;DE LA;CHOPERA;10;-3.697631;40.3925444
28079115;115;Matadero 02;Paseo de la Chopera, 10;570;;;X;X;;;;230600;PASEO;DE LA;CHOPERA;10;-3.697631;40.3925444
