id_district,district,surface_m2,surface_ha
2,ARGANZUELA,401526.61,40.15
21,BARAJAS,1679149.77,167.91
11,CARABANCHEL,144815,14.48
1,CENTRO,130162.67,13.02
5,CHAMARTÍN,0,0
7,CHAMBERÍ,0,0
15,CIUDAD LINEAL,26393.56,2.64
8,FUENCARRAL - EL PARDO,70629.63,7.06
16,HORTALEZA,3370033.47,337
10,LATINA,129527.58,12.95
9,MONCLOA-ARAVACA,16029932.11,1602.99
14,MORATALAZ,599588.61,59.96
13,PUENTE DE VALLECAS,327890.75,32.79
3,RETIRO,1177497.74,117.75
4,SALAMANCA,74241.43,7.42
20,SAN BLAS - CANILLEJAS,212620.39,21.26
6,TETUÁN,0,0
12,USERA,298671.43,29.87
19,VICÁLVARO,0,0
18,VILLA DE VALLECAS,2263.2,0.23
17,VILLAVERDE,334965.52,33.5
