,neighborhood,Centros deportivos Municipales
0,Palacio,0.0
1,Embajadores,0.0
2,Cortes,0.0
3,Justicia,1.0
4,Universidad,0.0
5,Sol,0.0
6,Imperial,0.2
7,Las Acacias,0.2
8,La Chopera,0.0
9,Legazpi,0.2
10,Las Delicias,0.2
11,Palos de Moguer,0.2
12,Atocha,0.0
13,Pacífico,0.5
14,Adelfas,0.0
15,La Estrella,0.0
16,Ibiza,0.0
17,Los Jerónimos,0.5
18,Niño Jesús,0.0
19,Recoletos,0.0
20,Goya,0.3333333333333333
21,Fuente del Berro,0.3333333333333333
22,Guindalera,0.3333333333333333
23,Lista,0.0
24,Castellana,0.0
25,El Viso,0.0
26,Prosperidad,0.0
27,Ciudad Jardín,0.5
28,Hispanoamérica,0.0
29,Nueva España,0.5
30,Castilla,0.0
31,Bellas Vistas,0.0
32,Cuatro Caminos,0.0
33,Castillejos,0.3333333333333333
34,Almenara,0.3333333333333333
35,Valdeacederas,0.0
36,Berruguete,0.3333333333333333
37,Gaztambide,0.0
38,Arapiles,0.0
39,Trafalgar,0.0
40,Almagro,0.0
41,Ríos Rosas,0.0
42,Vallehermoso,1.0
43,El Pardo,0.0
44,Fuentelarreina,0.0
45,Peñagrande,0.2
46,Del Pilar,0.2
47,La Paz,0.2
48,Valverde,0.2
49,Mirasierra,0.2
50,El Goloso,0.0
51,Casa de Campo,0.5555555555555556
52,Argüelles,0.0
53,Ciudad Universitaria,0.1111111111111111
54,Valdezarza,0.2222222222222222
55,Valdemarín,0.0
56,El Plantío,0.0
57,Aravaca,0.1111111111111111
58,Los Cármenes,0.25
59,Puerta del Ángel,0.0
60,Lucero,0.25
61,Aluche,0.0
62,Campamento,0.0
63,Cuatro Vientos,0.0
64,Las Águilas,0.5
65,Comillas,0.0
66,Opañel,0.0
67,San Isidro,0.0
68,Vista Alegre,0.5
69,Puerta Bonita,0.0
70,Buenavista,0.5
71,Abrantes,0.0
72,Orcasitas,0.0
73,Orcasur,0.25
74,San Fermín,0.25
75,Almendrales,0.0
76,Moscardó,0.25
77,Zofío,0.25
78,Pradolongo,0.0
79,Entrevías,0.4
80,San Diego,0.0
81,Palomeras Bajas,0.4
82,Palomeras Sureste,0.2
83,Portazgo,0.0
84,Numancia,0.0
85,Pavones,0.5
86,Horcajo,0.0
87,Marroquina,0.0
88,Media Legua,0.5
89,Fontarrón,0.0
90,Vinateros,0.0
91,Ventas,0.0
92,Pueblo Nuevo,0.5
93,Quintana,0.0
94,La Concepción,0.25
95,San Pascual,0.0
96,San Juan Bautista,0.25
97,Colina,0.0
98,Atalaya,0.0
99,Costillares,0.0
100,Palomas,0.3333333333333333
101,Piovera,0.0
102,Canillas,0.3333333333333333
103,Pinar del Rey,0.0
104,Apóstol Santiago,0.3333333333333333
105,Valdefuentes,0.0
106,"Villaverde Alto, C.H. Villaverde",0.2
107,San Cristóbal,0.4
108,Butarque,0.0
109,Los Rosales,0.4
110,Los Ángeles,0.0
111,Casco Histórico de Vallecas,0.5
112,Santa Eugenia,0.5
113,Ensanche de Vallecas,0.0
114,Casco Histórico de Vicálvaro,0.5
115,Valdebernardo,0.5
116,Valderrivas,0.0
117,El Cañaveral,0.0
118,Simancas,0.0
119,Hellín,0.3333333333333333
120,Amposta,0.0
121,Arcos,0.0
122,Rosas,0.3333333333333333
123,Rejas,0.3333333333333333
124,Canillejas,0.0
125,El Salvador,0.0
126,Alameda de Osuna,1.0
127,Aeropuerto,0.0
128,Casco Histórico de Barajas,0.0
129,Timón,0.0
130,Corralejos,0.0
