district,Superficie (Ha.) ,Densidad (hab./Ha.) 
CENTRO,522.82,257.99
ARGANZUELA,646.22,238.05
RETIRO,546.62,218.3944168211749
SALAMANCA,539.24,271.03
CHAMARTÍN,917.55,158.97
TETUÁN,537.47,293.85
CHAMBERÍ,467.92,298.02
FUENCARRAL-EL PARDO,23783.84,10.344041595151552
MONCLOA-ARAVACA,4653.11,25.66518061079354
LATINA,2542.72,93.66110778143705
CARABANCHEL,1404.83,180.12123417536486
USERA,777.77,179.35983649120402
PUENTE DE VALLECAS,1496.86,156.8415934638574
MORATALAZ,610.32,155.01622021330203
CIUDAD LINEAL,1142.57,189.2841722667537
HORTALEZA,2741.98,68.66106331024388
VILLAVERDE,2018.76,73.74977753301111
VILLA DE VALLECAS,5146.72,21.45753346296379
VICÁLVARO,3526.67,20.45156347471647
SAN BLAS-CANILLEJAS,2229.24,70.95066297392832
BARAJAS,4192.28,11.681468405263463
